model_name,run_name,seed,data_root,variant_id,edge_family,chain_k,evaluation_mode,roc_auc,pr_auc,f1,precision,recall,balanced_accuracy,specificity,fpr,selected_threshold,best_epoch,best_val_pr_auc
gnn,20260409_032824_src_plus_dst_plus_svc_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9997888253222955,0.9991249042498197,0.9921729677497282,0.9909520822274768,0.9933968653250774,0.9956445053076435,0.9978921452902094,0.0021078547097905637,0.8,19,0.9996858716256956
gnn,20260409_042520_src_plus_dst_plus_svc_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9998841774181777,0.9995775347201746,0.9937724189902035,0.9907918304542778,0.9967709945820433,0.9973090861525553,0.9978471777230672,0.0021528222769327623,0.5,17,0.9995710976052661
gnn,20260409_042520_src_plus_dst_plus_svc_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9998841774181777,0.9995775347201746,0.9941536714701583,0.9929662427913037,0.995343943498452,0.9968527188853541,0.9983614942722562,0.0016385057277438647,0.66,17,0.9995710976052661
mlp,20260410_013155_src_plus_dst_plus_svc_k5_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9917738519351794,0.9717115624433502,0.9037744012942954,0.9385394824240372,0.8714928405572755,0.9291151093616367,0.9867373781659978,0.013262621834002225,0.5,13,0.954948336127726
mlp,20260410_013155_src_plus_dst_plus_svc_k5_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9917738519351794,0.9717115624433502,0.8835168770704629,0.8221963006165639,0.9547213622291022,0.9533704840441881,0.952019605859274,0.047980394140726,0.17,13,0.954948336127726
mlp,20260410_021111_src_plus_dst_plus_svc_k5_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9844347947085141,0.9483885483769464,0.8831107705118845,0.8812761191333566,0.884953076625387,0.9286237171599498,0.9722943576945128,0.027705642305487166,0.5,4,0.9472361065826889
mlp,20260410_021111_src_plus_dst_plus_svc_k5_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9844347947085141,0.9483885483769464,0.88507310840865,0.8661781050291748,0.9048108552631579,0.9361622992379328,0.9675137432127079,0.03248625678729217,0.47,4,0.9472361065826889
mlp,20260410_023231_src_plus_dst_plus_svc_k5_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9910213236206923,0.9704261351129664,0.8853667669503015,0.9496302246350719,0.8292497097523219,0.9095140098231554,0.989778309893989,0.010221690106011039,0.5,12,0.9592819057953427
mlp,20260410_023231_src_plus_dst_plus_svc_k5_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9910213236206923,0.9704261351129664,0.8764760052092699,0.7976217631482382,0.9726320626934984,0.9576407758747584,0.9426494890560183,0.05735051094398165,0.08,12,0.9592819057953427
mlp,20260410_030943_src_plus_dst_plus_svc_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9903919640757484,0.967431979413024,0.8978079654214264,0.9371637530747274,0.861624419504644,0.9240993951198757,0.9865743707351073,0.013425629264892696,0.5,9,0.9544509085598991
mlp,20260410_030943_src_plus_dst_plus_svc_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9903919640757484,0.967431979413024,0.8984132648069386,0.8570910887827377,0.943921729876161,0.9536731174759375,0.9634245050757141,0.036575494924285856,0.21,9,0.9544509085598991
mlp,20260410_034058_src_plus_dst_plus_svc_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,0.9879701433600768,0.9627591683262717,0.8939957492029755,0.9372015915119364,0.8545980069659442,0.9206452087824,0.9866924105988556,0.013307589401144425,0.5,5,0.9561021477990128
mlp,20260410_034058_src_plus_dst_plus_svc_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,0.9879701433600768,0.9627591683262717,0.8985769062815919,0.8890309292993857,0.9083301083591331,0.9409909622433755,0.973651816127618,0.026348183872382046,0.45,5,0.9561021477990128
